epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,541.488,2.1614,1.46911,2.16621,0.80715,0.80857,0.85479,0.56608,2.19101,1.52534,2.34893,0.00016516,0.00016516,0.00016516
43,553.408,2.16173,1.51547,2.16302,0.80362,0.82697,0.86609,0.58487,2.16036,1.46307,2.34122,0.000162408,0.000162408,0.000162408
44,565.715,2.11905,1.41112,2.13542,0.81836,0.81386,0.87259,0.58501,2.16899,1.45813,2.3266,0.000159655,0.000159655,0.000159655
45,577.863,2.10404,1.39001,2.12329,0.79485,0.81446,0.8559,0.59082,2.10214,1.49791,2.29568,0.000156903,0.000156903,0.000156903
46,590.003,2.11215,1.44216,2.13956,0.78886,0.82344,0.85182,0.58177,2.13008,1.51444,2.31626,0.000154151,0.000154151,0.000154151
47,602.313,2.06475,1.43558,2.11704,0.83065,0.88067,0.91232,0.62263,2.14868,1.26625,2.32162,0.000151399,0.000151399,0.000151399
48,614.037,2.08721,1.40693,2.13386,0.81354,0.81784,0.86885,0.59249,2.15292,1.41218,2.32266,0.000148647,0.000148647,0.000148647
49,625.958,2.1012,1.3905,2.13128,0.80912,0.83671,0.87015,0.59813,2.13805,1.41457,2.28713,0.000145894,0.000145894,0.000145894
50,638.295,2.06086,1.38405,2.11077,0.7985,0.79939,0.85972,0.58414,2.14338,1.44651,2.28937,0.000143142,0.000143142,0.000143142
51,650.7,2.04051,1.33985,2.12642,0.82291,0.84316,0.89302,0.62021,2.11035,1.31444,2.30367,0.00014039,0.00014039,0.00014039
52,662.894,2.03725,1.33347,2.11528,0.83884,0.82419,0.8858,0.60556,2.10196,1.38438,2.28849,0.000137638,0.000137638,0.000137638
53,674.848,1.98798,1.28231,2.07043,0.79402,0.81089,0.84439,0.58171,2.09691,1.51866,2.28642,0.000134886,0.000134886,0.000134886
54,686.417,2.03624,1.32538,2.09962,0.84102,0.84757,0.89675,0.61638,2.06697,1.33164,2.28555,0.000132133,0.000132133,0.000132133
55,698.321,1.99384,1.26812,2.08879,0.80348,0.84376,0.85681,0.59725,2.07574,1.43527,2.28434,0.000129381,0.000129381,0.000129381
56,710.719,2.04669,1.30939,2.10158,0.8507,0.85454,0.90843,0.63433,2.09093,1.25952,2.28043,0.000126629,0.000126629,0.000126629
57,723.061,1.99711,1.28471,2.0839,0.82439,0.81803,0.87267,0.61048,2.06828,1.39217,2.27018,0.000123877,0.000123877,0.000123877
58,735.275,2.00385,1.24708,2.09786,0.80333,0.7962,0.84601,0.59156,2.06541,1.5276,2.27001,0.000121125,0.000121125,0.000121125
59,747.548,2.02805,1.29437,2.08946,0.85542,0.85154,0.89681,0.62033,2.05693,1.31793,2.27162,0.000118372,0.000118372,0.000118372
60,759.263,1.99488,1.24188,2.08356,0.84017,0.85218,0.88524,0.6169,2.07644,1.35732,2.28296,0.00011562,0.00011562,0.00011562
61,771.321,1.98072,1.24249,2.06651,0.85302,0.84902,0.91008,0.62603,2.13225,1.22165,2.29563,0.000112868,0.000112868,0.000112868
62,783.617,1.96648,1.2427,2.08493,0.85266,0.86856,0.91567,0.64061,2.07012,1.21766,2.27256,0.000110116,0.000110116,0.000110116
63,795.815,1.95354,1.18665,2.06634,0.81102,0.85036,0.88088,0.61331,2.06397,1.37845,2.27583,0.000107364,0.000107364,0.000107364
64,808.091,1.95374,1.2046,2.06044,0.85451,0.8518,0.89111,0.62345,2.0575,1.32591,2.27464,0.000104611,0.000104611,0.000104611
65,819.87,1.93668,1.1908,2.05789,0.83365,0.85861,0.89447,0.62006,2.11277,1.29067,2.28699,0.000101859,0.000101859,0.000101859
66,831.506,1.89026,1.18206,2.0584,0.84743,0.82928,0.87819,0.61149,2.06397,1.37186,2.27278,9.9107e-05,9.9107e-05,9.9107e-05
67,844.407,1.95167,1.16033,2.07277,0.84823,0.84279,0.88127,0.61481,2.04587,1.34447,2.26931,9.63548e-05,9.63548e-05,9.63548e-05
68,856.826,1.93416,1.20492,2.05194,0.83964,0.83263,0.88637,0.61833,2.08569,1.31324,2.25986,9.36026e-05,9.36026e-05,9.36026e-05
69,869.043,1.9064,1.15084,2.06857,0.83313,0.86657,0.89386,0.62373,2.06977,1.30564,2.28049,9.08504e-05,9.08504e-05,9.08504e-05
70,881.263,1.93409,1.14574,2.05214,0.85873,0.85868,0.90475,0.62902,2.04732,1.26445,2.27787,8.80982e-05,8.80982e-05,8.80982e-05
71,893.383,1.91564,1.15986,2.05756,0.83514,0.86227,0.88817,0.6255,2.04364,1.32927,2.26759,8.5346e-05,8.5346e-05,8.5346e-05
72,905.009,1.89186,1.14698,2.04623,0.79646,0.85956,0.8568,0.59887,2.02683,1.47413,2.25848,8.25938e-05,8.25938e-05,8.25938e-05
73,917.27,1.94282,1.15641,2.06254,0.8423,0.8624,0.88519,0.61468,2.07168,1.34425,2.26711,7.98416e-05,7.98416e-05,7.98416e-05
74,929.588,1.92274,1.13659,2.04669,0.85252,0.87723,0.90382,0.62987,2.08952,1.27619,2.29174,7.70894e-05,7.70894e-05,7.70894e-05
75,941.986,1.89138,1.13851,2.04508,0.85638,0.87627,0.9019,0.63047,2.03667,1.26823,2.27354,7.43372e-05,7.43372e-05,7.43372e-05
76,954.4,1.8529,1.10868,2.04528,0.85723,0.85959,0.89641,0.62411,2.04037,1.31568,2.26226,7.1585e-05,7.1585e-05,7.1585e-05
77,966.226,1.85837,1.11904,2.04774,0.8573,0.86073,0.89654,0.62473,2.03901,1.30641,2.26764,6.88328e-05,6.88328e-05,6.88328e-05
78,978.056,1.87386,1.07914,2.02623,0.83408,0.84978,0.87844,0.60855,2.09191,1.41601,2.27973,6.60806e-05,6.60806e-05,6.60806e-05
79,990.567,1.87796,1.08538,2.03178,0.85331,0.85182,0.88448,0.62091,2.03786,1.35915,2.27261,6.33284e-05,6.33284e-05,6.33284e-05
80,1003.08,1.8807,1.09123,2.01834,0.83299,0.85936,0.88684,0.61303,2.0897,1.37594,2.29139,6.05762e-05,6.05762e-05,6.05762e-05
81,1015.64,1.87409,1.10966,2.03235,0.83718,0.84372,0.85913,0.60392,2.02853,1.52602,2.26553,5.7824e-05,5.7824e-05,5.7824e-05
82,1028.01,1.81371,1.05289,2.01231,0.8215,0.85138,0.86857,0.6088,2.03193,1.47266,2.25915,5.50718e-05,5.50718e-05,5.50718e-05
83,1039.99,1.85606,1.07087,2.02074,0.85582,0.84641,0.88233,0.62279,2.03666,1.37572,2.26522,5.23196e-05,5.23196e-05,5.23196e-05
84,1051.77,1.81702,1.07624,2.00641,0.86524,0.85686,0.89878,0.63421,2.01334,1.27396,2.24584,4.95674e-05,4.95674e-05,4.95674e-05
85,1064.17,1.80412,1.03805,2.01304,0.85996,0.8655,0.90268,0.63168,2.0523,1.26804,2.25295,4.68152e-05,4.68152e-05,4.68152e-05
86,1076.79,1.88806,1.10994,2.03407,0.86307,0.85072,0.89133,0.62298,2.04467,1.30818,2.25693,4.4063e-05,4.4063e-05,4.4063e-05
87,1089.21,1.80661,1.04553,2.01068,0.85505,0.87516,0.89368,0.63092,2.0116,1.30391,2.24818,4.13108e-05,4.13108e-05,4.13108e-05
88,1101.82,1.81253,1.03895,1.99452,0.85081,0.8711,0.89785,0.63107,2.01133,1.28224,2.24689,3.85586e-05,3.85586e-05,3.85586e-05
89,1113.93,1.81451,1.0575,2.0105,0.8478,0.87293,0.90146,0.63824,2.00635,1.27268,2.25312,3.58064e-05,3.58064e-05,3.58064e-05
90,1125.55,1.75455,1.03804,1.98601,0.8639,0.8598,0.90047,0.63432,2.03715,1.28232,2.25945,3.30542e-05,3.30542e-05,3.30542e-05
91,1139.58,1.72256,0.89528,2.03622,0.86539,0.85198,0.89515,0.62604,2.05631,1.31197,2.27911,3.0302e-05,3.0302e-05,3.0302e-05
92,1151.36,1.68455,0.86988,2.01639,0.86838,0.85096,0.89852,0.63075,2.03414,1.28823,2.25713,2.75498e-05,2.75498e-05,2.75498e-05
93,1163.18,1.68533,0.87158,2.02286,0.8568,0.86987,0.89773,0.63594,2.01087,1.29543,2.25689,2.47976e-05,2.47976e-05,2.47976e-05
94,1174.98,1.66329,0.86228,2.01665,0.85584,0.872,0.89193,0.62947,2.0184,1.32243,2.25141,2.20454e-05,2.20454e-05,2.20454e-05
95,1186.02,1.63766,0.8378,2.00705,0.86637,0.85628,0.88884,0.62629,2.02289,1.33149,2.26526,1.92932e-05,1.92932e-05,1.92932e-05
96,1196.89,1.64663,0.84271,1.99706,0.85436,0.86887,0.89659,0.63839,1.98816,1.2936,2.24652,1.6541e-05,1.6541e-05,1.6541e-05
97,1208.37,1.63359,0.84526,1.99922,0.86558,0.85516,0.89234,0.62895,2.01677,1.31535,2.26515,1.37888e-05,1.37888e-05,1.37888e-05
98,1219.94,1.62417,0.84339,2.00766,0.86946,0.86131,0.8951,0.63369,2.00125,1.30206,2.25364,1.10366e-05,1.10366e-05,1.10366e-05
99,1231.36,1.60156,0.82905,1.98941,0.87095,0.85474,0.89507,0.6339,2.00332,1.29828,2.2588,8.2844e-06,8.2844e-06,8.2844e-06
100,1241.99,1.61425,0.83091,2.00201,0.8739,0.85789,0.89631,0.63756,1.99112,1.28754,2.25461,5.5322e-06,5.5322e-06,5.5322e-06
