epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1215.44,1.30659,1.28954,1.25703,0.56076,0.84807,0.71227,0.45678,1.21135,1.0306,1.26127,0.000202773,0.000202773,0.000202773
43,1249.18,1.30697,1.26913,1.24096,0.48003,0.88498,0.56988,0.34556,1.35391,1.14119,1.30882,0.000200938,0.000200938,0.000200938
44,1279.6,1.30231,1.27178,1.22941,0.53514,0.87804,0.63816,0.39733,1.27105,1.05668,1.29286,0.000199104,0.000199104,0.000199104
45,1309.54,1.31528,1.2713,1.24345,0.48673,0.86993,0.60947,0.38183,1.275,1.1079,1.28073,0.000197269,0.000197269,0.000197269
46,1338.9,1.29098,1.24237,1.22389,0.47873,0.88293,0.62447,0.38637,1.30032,1.1185,1.29925,0.000195434,0.000195434,0.000195434
47,1368.94,1.29322,1.24633,1.22602,0.55409,0.85475,0.70633,0.45211,1.2123,1.03573,1.25147,0.000193599,0.000193599,0.000193599
48,1397.92,1.29122,1.23527,1.22635,0.70693,0.79987,0.8245,0.42586,1.66554,0.974,1.38321,0.000191764,0.000191764,0.000191764
49,1427.13,1.26822,1.23439,1.23304,0.53313,0.86492,0.71642,0.44185,1.32637,1.01908,1.26718,0.00018993,0.00018993,0.00018993
50,1456.57,1.24723,1.20789,1.22254,0.58921,0.84812,0.73706,0.40569,1.51487,1.02248,1.33514,0.000188095,0.000188095,0.000188095
51,1486.07,1.30627,1.24588,1.22523,0.45059,0.90313,0.52265,0.32097,1.28184,1.17588,1.27441,0.00018626,0.00018626,0.00018626
52,1516.56,1.29,1.23417,1.24092,0.64264,0.8402,0.76541,0.48552,1.22496,0.95464,1.26508,0.000184425,0.000184425,0.000184425
53,1552.59,1.26119,1.18938,1.22488,0.48528,0.87115,0.60024,0.38204,1.20986,1.11527,1.2615,0.00018259,0.00018259,0.00018259
54,1582.67,1.27011,1.23416,1.21943,0.60157,0.84166,0.76667,0.46546,1.32738,0.97395,1.26349,0.000180756,0.000180756,0.000180756
55,1612.84,1.26756,1.23256,1.2353,0.48045,0.91245,0.65531,0.37495,1.48323,1.05804,1.31133,0.000178921,0.000178921,0.000178921
56,1643.69,1.26267,1.21719,1.22369,0.58469,0.83977,0.76962,0.4996,1.2004,0.97738,1.23236,0.000177086,0.000177086,0.000177086
57,1670.59,1.30064,1.26526,1.2396,0.60215,0.84073,0.76188,0.46822,1.31858,0.98226,1.26531,0.000175251,0.000175251,0.000175251
58,1701.37,1.27423,1.19027,1.22855,0.53529,0.85373,0.67689,0.42382,1.27004,1.02064,1.26188,0.000173416,0.000173416,0.000173416
59,1730.51,1.25357,1.17497,1.21184,0.57022,0.84529,0.70259,0.43512,1.29156,0.99569,1.27278,0.000171582,0.000171582,0.000171582
60,1759.6,1.26304,1.17839,1.21852,0.61196,0.85642,0.76545,0.47846,1.26896,0.96141,1.2574,0.000169747,0.000169747,0.000169747
61,1789.22,1.23593,1.17421,1.20321,0.74328,0.83262,0.86009,0.50062,1.40957,0.89659,1.29462,0.000167912,0.000167912,0.000167912
62,1824.07,1.27712,1.17296,1.22337,0.58207,0.79017,0.71717,0.46422,1.21677,1.02736,1.24722,0.000166077,0.000166077,0.000166077
63,1848.59,1.24365,1.1447,1.20486,0.67082,0.81523,0.80729,0.52686,1.20389,0.91335,1.23783,0.000164242,0.000164242,0.000164242
64,1885.53,1.23557,1.15905,1.19138,0.54213,0.87684,0.66405,0.40325,1.34276,1.02415,1.29377,0.000162408,0.000162408,0.000162408
65,1916.6,1.24808,1.13836,1.22121,0.57279,0.81876,0.7039,0.43912,1.28259,1.03684,1.25843,0.000160573,0.000160573,0.000160573
66,1946.7,1.23895,1.11144,1.19847,0.7078,0.86582,0.83402,0.50707,1.3059,0.89273,1.26803,0.000158738,0.000158738,0.000158738
67,1976.16,1.25063,1.15083,1.21113,0.7935,0.88589,0.89772,0.57215,1.23234,0.78905,1.25443,0.000156903,0.000156903,0.000156903
68,2013,1.24003,1.15434,1.20714,0.52819,0.84564,0.6574,0.4154,1.28059,1.05553,1.25698,0.000155068,0.000155068,0.000155068
69,2042.82,1.24165,1.14123,1.20457,0.50883,0.83549,0.64882,0.42533,1.16212,1.06692,1.22129,0.000153234,0.000153234,0.000153234
70,2072.97,1.248,1.10715,1.20322,0.73425,0.839,0.86104,0.56571,1.17226,0.85429,1.2347,0.000151399,0.000151399,0.000151399
71,2102.77,1.25224,1.12905,1.2166,0.56734,0.83806,0.73222,0.48587,1.15258,0.99515,1.22772,0.000149564,0.000149564,0.000149564
72,2131.53,1.2309,1.09241,1.20008,0.57602,0.78038,0.70353,0.43568,1.31915,1.00822,1.25549,0.000147729,0.000147729,0.000147729
73,2155.76,1.22677,1.08325,1.21139,0.82823,0.89586,0.90732,0.59617,1.18424,0.74696,1.22085,0.000145894,0.000145894,0.000145894
74,2190.06,1.19826,1.06183,1.18891,0.60096,0.81863,0.74304,0.49505,1.15304,0.94175,1.2304,0.00014406,0.00014406,0.00014406
75,2221.57,1.22435,1.05185,1.2019,0.53424,0.86115,0.68409,0.45063,1.13545,1.04108,1.22054,0.000142225,0.000142225,0.000142225
76,2251.97,1.2047,1.03859,1.1812,0.51861,0.87602,0.65806,0.43134,1.18655,1.05617,1.2243,0.00014039,0.00014039,0.00014039
77,2281.77,1.22511,1.09815,1.22499,0.83135,0.87179,0.90208,0.57746,1.24391,0.7703,1.22966,0.000138555,0.000138555,0.000138555
78,2311.54,1.21136,1.06278,1.19085,0.4745,0.85385,0.57485,0.3731,1.18934,1.18007,1.24666,0.00013672,0.00013672,0.00013672
79,2342.45,1.22731,1.05838,1.19599,0.61559,0.83591,0.76934,0.50428,1.16125,0.94625,1.21588,0.000134886,0.000134886,0.000134886
80,2366.5,1.22921,1.04757,1.19233,0.47776,0.83661,0.57169,0.37489,1.1465,1.21373,1.21351,0.000133051,0.000133051,0.000133051
81,2397.64,1.21947,1.04011,1.19343,0.57458,0.83088,0.69449,0.46174,1.11039,1.0224,1.19875,0.000131216,0.000131216,0.000131216
82,2428.59,1.19537,1.01268,1.17907,0.66307,0.81429,0.75801,0.49352,1.16435,0.92864,1.2276,0.000129381,0.000129381,0.000129381
83,2452.55,1.17787,1.02856,1.20236,0.68891,0.84492,0.8071,0.51505,1.23117,0.88001,1.24542,0.000127546,0.000127546,0.000127546
84,2482.22,1.2023,1.01228,1.18721,0.66198,0.78816,0.77998,0.51136,1.17913,0.95987,1.2447,0.000125712,0.000125712,0.000125712
85,2512.61,1.19295,1.00239,1.17495,0.58128,0.81064,0.74382,0.48402,1.2101,1.00459,1.23057,0.000123877,0.000123877,0.000123877
86,2543.12,1.26277,1.05945,1.22266,0.56276,0.82508,0.70062,0.44452,1.24676,1.04757,1.23892,0.000122042,0.000122042,0.000122042
87,2573.59,1.17119,0.99769,1.17673,0.67777,0.80016,0.76017,0.49768,1.17389,0.93781,1.22449,0.000120207,0.000120207,0.000120207
88,2600.18,1.20648,0.97879,1.18733,0.69874,0.81457,0.7796,0.51592,1.14955,0.92906,1.21847,0.000118372,0.000118372,0.000118372
89,2623.95,1.20128,1.00175,1.17233,0.6257,0.78109,0.73228,0.48881,1.14923,1.03041,1.24619,0.000116538,0.000116538,0.000116538
90,2653.48,1.2187,1.01154,1.19048,0.8068,0.87401,0.88479,0.5691,1.22854,0.75491,1.24964,0.000114703,0.000114703,0.000114703
91,2683.41,1.21305,1.02363,1.19263,0.54664,0.79412,0.65928,0.43608,1.19711,1.09968,1.24282,0.000112868,0.000112868,0.000112868
92,2715.06,1.21433,0.96552,1.18966,0.70256,0.80592,0.79241,0.49335,1.28279,0.92588,1.23707,0.000111033,0.000111033,0.000111033
93,2745.69,1.20013,0.97909,1.20494,0.77396,0.82655,0.8382,0.5413,1.20766,0.83023,1.22546,0.000109198,0.000109198,0.000109198
94,2776.34,1.18666,0.93376,1.18648,0.76658,0.80956,0.8266,0.55246,1.1502,0.8644,1.23124,0.000107364,0.000107364,0.000107364
95,2806.21,1.17496,0.94271,1.1764,0.71255,0.81899,0.82084,0.53268,1.22155,0.88604,1.24638,0.000105529,0.000105529,0.000105529
96,2835.7,1.18572,0.93152,1.18579,0.78439,0.85666,0.88509,0.58654,1.15328,0.76987,1.2249,0.000103694,0.000103694,0.000103694
97,2864.91,1.17147,0.92711,1.16632,0.54411,0.79524,0.67434,0.44087,1.18838,1.11331,1.22572,0.000101859,0.000101859,0.000101859
98,2889.21,1.16437,0.95643,1.17897,0.70245,0.83596,0.83837,0.53954,1.22322,0.91831,1.23106,0.000100024,0.000100024,0.000100024
99,2919.38,1.16141,0.92814,1.16919,0.7986,0.8291,0.86585,0.56382,1.18771,0.79899,1.23939,9.81896e-05,9.81896e-05,9.81896e-05
100,2950.31,1.16945,0.90776,1.16431,0.74334,0.76029,0.81321,0.51789,1.26344,0.90529,1.24638,9.63548e-05,9.63548e-05,9.63548e-05
101,2981.41,1.17752,0.91979,1.17799,0.73281,0.80528,0.83729,0.5685,1.12427,0.85171,1.22662,9.452e-05,9.452e-05,9.452e-05
102,3005.97,1.17229,0.90965,1.17578,0.77213,0.84184,0.87074,0.52636,1.3809,0.80874,1.27718,9.26852e-05,9.26852e-05,9.26852e-05
103,3036.66,1.14849,0.91234,1.16402,0.81262,0.8444,0.88468,0.57553,1.2114,0.76391,1.24145,9.08504e-05,9.08504e-05,9.08504e-05
104,3066.99,1.16914,0.90017,1.17183,0.71386,0.78987,0.78888,0.50748,1.23557,0.91422,1.23695,8.90156e-05,8.90156e-05,8.90156e-05
105,3095.95,1.16212,0.87275,1.17051,0.74427,0.85146,0.8407,0.54333,1.2142,0.85332,1.22062,8.71808e-05,8.71808e-05,8.71808e-05
106,3126.72,1.15564,0.87761,1.17483,0.85636,0.86518,0.90045,0.59935,1.1858,0.70489,1.23018,8.5346e-05,8.5346e-05,8.5346e-05
107,3163.92,1.15246,0.84724,1.15433,0.74543,0.82461,0.84386,0.57579,1.10282,0.84364,1.20463,8.35112e-05,8.35112e-05,8.35112e-05
108,3188.81,1.1671,0.87945,1.1692,0.75193,0.82772,0.86879,0.58898,1.13995,0.81147,1.20888,8.16764e-05,8.16764e-05,8.16764e-05
109,3212.92,1.17078,0.902,1.16935,0.61145,0.79678,0.72407,0.48528,1.18036,1.02981,1.22893,7.98416e-05,7.98416e-05,7.98416e-05
110,3243.24,1.16361,0.84946,1.17203,0.80476,0.83234,0.87985,0.59988,1.11938,0.75719,1.21814,7.80068e-05,7.80068e-05,7.80068e-05
111,3274.67,1.15624,0.87495,1.17011,0.65379,0.78212,0.74352,0.50001,1.13803,1.03309,1.22973,7.6172e-05,7.6172e-05,7.6172e-05
112,3299.22,1.15353,0.87593,1.16971,0.72571,0.8086,0.80892,0.5398,1.18062,0.91833,1.22882,7.43372e-05,7.43372e-05,7.43372e-05
113,3329.05,1.15153,0.84112,1.14411,0.77119,0.82422,0.82872,0.55993,1.12854,0.86179,1.21464,7.25024e-05,7.25024e-05,7.25024e-05
114,3358.73,1.14623,0.8516,1.16048,0.69465,0.80163,0.78528,0.53729,1.12029,0.94798,1.21276,7.06676e-05,7.06676e-05,7.06676e-05
115,3389.08,1.13125,0.81963,1.1436,0.79119,0.81522,0.84509,0.55905,1.19159,0.82211,1.2267,6.88328e-05,6.88328e-05,6.88328e-05
116,3418.09,1.16905,0.85779,1.16273,0.74403,0.82681,0.84232,0.55825,1.19836,0.84273,1.23558,6.6998e-05,6.6998e-05,6.6998e-05
117,3447.8,1.12194,0.82904,1.16158,0.74669,0.79221,0.83867,0.56421,1.17923,0.88097,1.21606,6.51632e-05,6.51632e-05,6.51632e-05
118,3477.06,1.12446,0.80367,1.14628,0.79257,0.84694,0.87329,0.59428,1.13951,0.7654,1.2293,6.33284e-05,6.33284e-05,6.33284e-05
119,3506.13,1.12907,0.8067,1.14846,0.71943,0.78587,0.7968,0.54916,1.11703,0.89237,1.22011,6.14936e-05,6.14936e-05,6.14936e-05
120,3536.14,1.14537,0.8103,1.15551,0.82393,0.86788,0.89426,0.56272,1.30998,0.71772,1.25229,5.96588e-05,5.96588e-05,5.96588e-05
121,3567.21,1.12838,0.82102,1.14734,0.7406,0.79605,0.81758,0.55457,1.13529,0.91313,1.21137,5.7824e-05,5.7824e-05,5.7824e-05
122,3596.17,1.12624,0.8242,1.14885,0.81751,0.88818,0.91947,0.58069,1.28839,0.69738,1.24474,5.59892e-05,5.59892e-05,5.59892e-05
123,3625.25,1.1433,0.8344,1.16612,0.80162,0.83549,0.8793,0.60467,1.10239,0.74065,1.21222,5.41544e-05,5.41544e-05,5.41544e-05
124,3655.7,1.11289,0.77962,1.14076,0.75618,0.80071,0.8278,0.56866,1.10565,0.84803,1.19912,5.23196e-05,5.23196e-05,5.23196e-05
125,3689.3,1.15072,0.81879,1.17128,0.73595,0.75953,0.78881,0.5054,1.26298,0.96356,1.22771,5.04848e-05,5.04848e-05,5.04848e-05
126,3719.42,1.12523,0.79133,1.1619,0.80646,0.84966,0.86969,0.5945,1.11445,0.76303,1.21087,4.865e-05,4.865e-05,4.865e-05
127,3749.67,1.09957,0.75153,1.13715,0.82579,0.83179,0.8629,0.58224,1.13544,0.78028,1.20531,4.68152e-05,4.68152e-05,4.68152e-05
128,3783.77,1.12053,0.75688,1.14111,0.70324,0.80432,0.7924,0.53077,1.17419,0.97795,1.20728,4.49804e-05,4.49804e-05,4.49804e-05
129,3809.3,1.12048,0.77493,1.1476,0.77292,0.84356,0.85691,0.58839,1.12135,0.82315,1.20963,4.31456e-05,4.31456e-05,4.31456e-05
130,3837.91,1.11118,0.76697,1.15306,0.77946,0.79201,0.83194,0.57203,1.12237,0.88682,1.20115,4.13108e-05,4.13108e-05,4.13108e-05
131,3868.69,1.13989,0.7873,1.14681,0.81252,0.85713,0.89189,0.59583,1.17699,0.72697,1.21232,3.9476e-05,3.9476e-05,3.9476e-05
132,3899.65,1.11972,0.76741,1.1631,0.65187,0.76085,0.76316,0.52537,1.14812,1.00807,1.2065,3.76412e-05,3.76412e-05,3.76412e-05
