epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7197,2.02754,4.37435,1.71235,0.17114,0.61424,0.12663,0.08042,1.41098,inf,1.32955,6.672e-05,6.672e-05,6.672e-05
2,51.5842,1.32069,2.10845,1.22754,0.28195,0.68634,0.37793,0.2397,1.31094,3.61915,1.24519,0.00013595,0.00013595,0.00013595
3,75.3977,1.28022,1.77956,1.21214,0.41596,0.72348,0.53855,0.33598,1.20623,2.02482,1.25943,0.000204905,0.000204905,0.000204905
4,103.595,1.25649,1.62669,1.19551,0.37656,0.77432,0.50767,0.31508,1.17976,1.60774,1.2352,0.000273585,0.000273585,0.000273585
